"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2010,201003,"March 2010",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,14300,NA,5853,NA,NA,0
"HS",2010,201004,"April 2010",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,600,NA,475,NA,NA,0
"HS",2010,201005,"May 2010",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,4820,NA,2725,NA,NA,0
"HS",2010,201009,"September 2010",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,21000,NA,4476,NA,NA,0
"HS",2010,201005,"May 2010",4,0,1,"Imports",276,"Germany",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,4820,NA,2725,NA,NA,0
"HS",2010,201001,"January 2010",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,62000,NA,6230,NA,NA,0
"HS",2010,201002,"February 2010",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,1601,NA,213,NA,NA,0
"HS",2010,201003,"March 2010",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,27880,NA,3713,NA,NA,0
"HS",2010,201004,"April 2010",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,77100,NA,9077,NA,NA,0
"HS",2010,201005,"May 2010",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,44310,NA,7117,NA,NA,0
"HS",2010,201006,"June 2010",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,36102,NA,6757,NA,NA,0
"HS",2010,201008,"August 2010",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,175,NA,145,NA,NA,0
"HS",2010,201009,"September 2010",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,388,NA,799,NA,NA,0
"HS",2010,201010,"October 2010",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,300,NA,424,NA,NA,0
"HS",2010,201011,"November 2010",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,1062,NA,2160,NA,NA,0
"HS",2010,201012,"December 2010",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,1958,NA,4785,NA,NA,0
"HS",2010,201003,"March 2010",4,0,1,"Imports",440,"Lithuania",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,14300,NA,5842,NA,NA,0
"HS",2010,201004,"April 2010",4,0,1,"Imports",440,"Lithuania",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,600,NA,476,NA,NA,0
"HS",2010,201009,"September 2010",4,0,1,"Imports",616,"Poland",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,21000,NA,4409,NA,NA,0
