"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2020,202003,"March 2020",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,101882,NA,20376,NA,NA,0
"HS",2020,202002,"February 2020",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,36461,NA,7100,NA,NA,0
"HS",2020,202003,"March 2020",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,19000,NA,6300,NA,NA,0
"HS",2020,202004,"April 2020",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,112000,NA,40200,NA,NA,0
"HS",2020,202005,"May 2020",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,218098,NA,37400,NA,NA,0
"HS",2020,202006,"June 2020",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,702802,NA,89500,NA,NA,0
"HS",2020,202007,"July 2020",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,20000,NA,4400,NA,NA,0
"HS",2020,202008,"August 2020",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,72000,NA,18700,NA,NA,0
"HS",2020,202009,"September 2020",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,19000,NA,5700,NA,NA,0
"HS",2020,202010,"October 2020",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,26439,NA,11400,NA,NA,0
"HS",2020,202011,"November 2020",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,82775,NA,38100,NA,NA,0
"HS",2020,202003,"March 2020",4,0,1,"Imports",417,"Kyrgyzstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,127000,NA,15106,NA,NA,0
"HS",2020,202004,"April 2020",4,0,1,"Imports",417,"Kyrgyzstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,21000,NA,3497,NA,NA,0
"HS",2020,202010,"October 2020",4,0,1,"Imports",417,"Kyrgyzstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,100,NA,103,NA,NA,0
"HS",2020,202008,"August 2020",4,0,1,"Imports",446,"China, Macao SAR",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,10,NA,225,NA,NA,0
"HS",2020,202002,"February 2020",4,0,1,"Imports",860,"",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,22300,NA,7359,NA,NA,0
"HS",2020,202003,"March 2020",4,0,1,"Imports",860,"",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,17040,NA,2391,NA,NA,0
"HS",2020,202004,"April 2020",4,0,1,"Imports",860,"",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",NA,NA,NA,NA,NA,NA,21780,NA,4318,NA,NA,0
